Name,Province,Website,Address,City,Region,,,,REGION - Alberta,
Airdrie Islamic Education and Wellness Center,Alberta,,505 Main St S #314 (also 2920 Kingsview Blvd SE #3161),Airdrie,Rocky View County,,,,Calgary,Calgary Division
Akram Jomaa Islamic Centre,Alberta,https://www.akramjomaa.com/,2624 39th Ave NE,Calgary,Calgary Division,,,,Camrose,Camrose
Al Ameen Masjid,Alberta,https://alameenmasjid.ca/,5410 122 Ave NW,Edmonton,Edmonton Division,,,,Cold Lake,Cold Lake
Al Kareem Mosque,Alberta,https://kareemmosque.ca/,10223 94 Avenue,Lac La Biche,Lac La Biche County,,,,Drayton Valley,Edmonton Division
Al Medina Mosque,Alberta,https://medinamosque.ca/,12944 52 St NW,Edmonton,Edmonton Division,,,,Edmonton,Edmonton Division
Al-Furqan Mosque & Learning Centre,Alberta,https://alfurqanlearningcentre.ca/,4940 54 Ave Unit 2,Red Deer,Red Deer,,,,Fort Saskatchewan,Edmonton Division
Al-Hedaya Islamic Centre,Alberta,https://alhedayacentre.ca/,108 Savanna Ave NE,Calgary,Calgary Division,,,,Grande Prairie,Grande Prairie
Al-Rayyan Mosque,Alberta,https://globalislamic.org/,21406 100 Ave NW #3,Edmonton,Edmonton Division,,,,Lac La Biche,Lac La Biche County
Al-Salam Centre,Alberta,https://www.alsalaam.ca/,"6415 Ranchview Dr NW, Calgary, AB T3G 1B",Calgary,Calgary Division,,,,Leduc,Leduc
Alfalah Calgary Islamic Center (ACIC),Alberta,https://alfalahcalgary.ca/,"1411 33 St NE #8, Calgary, AB T2A 5P1",Calgary,Calgary Division,,,,Lethbridge,Lethbridge
Annoor Mosque,Alberta,https://masjidannoor.ca,3032 106 st edmonton,Edmonton,Edmonton Division,,,,Vegreville,Minburn
Assiddiq Islamic Center,Alberta,https://assiddiq.ca/,5525 Gateway Blvd NW,Edmonton,Edmonton Division,,,,Peace River,Northern Sunrise
At-Taqwa Mosque,Alberta,https://masjidtaqwa.ca/,10654 101 St NW,Edmonton,Edmonton Division,,,,Red Deer,Red Deer
Baitul Mukarram Islamic Centre Calgary,Alberta,https://www.bmicc.online/,3770 Westwinds Dr NE Unit 207,Calgary,Calgary Division,,,,Airdrie,Rocky View County
Calgary Islamic Centre SW Masjid (CICSW) - Mosque,Alberta,https://cicsw.ca/,5615 14 Ave SW,Calgary,Calgary Division,,,,St. Albert,St. Albert
Camrose Muslim Community Mosque,Alberta,https://www.irizq.com/index.php/camrose-muslim-community-mosque,"4610 49 Ave, Camrose, AB T4V 1G7",Camrose,Camrose,,,,Stettler,Stettler
